,date,sku,group,name,quantity,unit_cogs,agg_cogs,unit_revenue,gross_margin,sunrise,sunset,HeatIndexC,cloudcover,humidity,tempC,Avgtemp
107,2018-01-01,4759,SWEETS,BOMBONIERA IMPRESJA 207 G BARON,6.0,"7,95",47.7,9.75,18.46,08:52 AM,04:31 PM,6,79,89,8,5.5
108,2018-01-01,7173,SWEETS,BOMBONIERA POMORZANKA 175 G CHOCO,2.0,"4,85",9.7,6.41,24.34,08:52 AM,04:31 PM,6,79,89,8,5.5
109,2018-01-01,7364,SWEETS,BORSETO 7 DAYS Z OWOC.LESNYCH 80 G,1.0,"1,21",1.21,1.62,25.31,08:52 AM,04:31 PM,6,79,89,8,5.5
110,2018-01-01,11597,CHEMISTRY,BREF 4-FORMULA AKTIV,3.0,"2,89",8.67,3.32,12.86,08:52 AM,04:31 PM,6,79,89,8,5.5
111,2018-01-01,11596,CHEMISTRY,BREF 4-FORMULA LEMON,9.0,"2,65",23.85,4.06,34.73,08:52 AM,04:31 PM,6,79,89,8,5.5
112,2018-01-01,4122,CHEMISTRY,BREF KULKI BLU AKTIV,1.0,"2,65",2.65,4.06,34.73,08:52 AM,04:31 PM,6,79,89,8,5.5
113,2018-01-01,2498,VODKA_ALCOHOL,BRENDY SLONTSCHEW 0_5L 36 VOL,1.0,"16,28",16.28,20.1,19.0,08:52 AM,04:31 PM,6,79,89,8,5.5
114,2018-01-01,6766,ICE_CREAMS_FROZEN,BROKUL MROZONY 450 G,2.0,"3,49",6.98,4.66,25.11,08:52 AM,04:31 PM,6,79,89,8,5.5
115,2018-01-01,44,ICE_CREAMS_FROZEN,BROKULY MROZONE 450 GR MORDIS,3.0,"4,58",13.74,5.7,19.65,08:52 AM,04:31 PM,6,79,89,8,5.5
116,2018-01-01,4388,ICE_CREAMS_FROZEN,BRUKSELKA 450 G,2.0,"3,67",7.34,5.32,31.02,08:52 AM,04:31 PM,6,79,89,8,5.5
117,2018-01-01,1437,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,BRYKIET WEGLA 2_5,1.0,"5,57",5.57,3.66,-52.19,08:52 AM,04:31 PM,6,79,89,8,5.5
118,2018-01-01,496,CANNED_PATE,BRZOSKWINIE SANDRA 820G,9.0,"3,77",33.93,5.55,32.07,08:52 AM,04:31 PM,6,79,89,8,5.5
119,2018-01-01,8064,SWEETS,BUBLE GUM ROLL,3.0,"1,97",5.91,2.84,30.63,08:52 AM,04:31 PM,6,79,89,8,5.5
120,2018-01-01,7401,GENERAL_FOOD,BUDYN CZEKOLADOWY DELECTA 64 G,1.0,"0,84",0.84,1.13,25.66,08:52 AM,04:31 PM,6,79,89,8,5.5
121,2018-01-01,17382,ICE_CREAMS_FROZEN,BUKIET KROLEWSKI 450G NORDIS,6.0,"1,99",11.94,3.8,47.63,08:52 AM,04:31 PM,6,79,89,8,5.5
122,2018-01-01,19595,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,BULION KNORR GRZYBOWY (3L)60G KOSTKI,2.0,"1,87",3.74,2.77,32.49,08:52 AM,04:31 PM,6,79,89,8,5.5
123,2018-01-01,8934,BREAD,BULKA MALA/KAJZERKA__,2499.0,"0,52",1306.5,0.61,14.03,08:52 AM,04:31 PM,6,79,89,8,5.5
124,2018-01-01,5864,BREAD,BULKA MASLANA MALA1,191.0,"0,5",95.5,0.66,23.7,08:52 AM,04:31 PM,6,79,89,8,5.5
125,2018-01-01,6516,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,BULKA TARTA MAMUT 450 G,9.0,"1,87",16.83,2.34,20.09,08:52 AM,04:31 PM,6,79,89,8,5.5
